KIMBER,Bimbo,Cemex,Inbursa,Alfa,ICA,Elektra
23.00001,15.06,39.12999,7.94,15.9,1.422,28.4
23.78001,15.19,39.03001,7.9,15.82,1.464,29.2
23.64999,15.1,39.07998,8.14,16.09,1.494,29.8
23.7,15.06,38.69999,7.98,15.91,1.452,29
23.09001,15.09,38.47999,7.8,15.83,1.434,28.6
23.19999,15,38.30002,7.92,16.1,1.422,28.4
23.49999,15,39.48,8,16.24,1.404,28
23.73999,15.08,39.65998,8.14,16.18,1.41,28.2
23.99001,15,39.75001,8,16.14,1.404,28
24,15.07,39.13999,8.06,16.03,1.392,27.8
23.82999,14.6,39.05,8.03,15.9,1.554,31
23.76,14.81,38.34998,8.08,15.97,1.47,29.4
23.55999,14.81,37.80001,8.1,15.92,1.542,30.8
23.49999,14.8,37.18,8,16.18,1.584,31.6
23.67999,14.7,36.6,7.93,15.82,1.692,33.8
24,14.89,35.83998,8.08,15.9,1.764,35.2
24.03999,15.1,36.96999,8.2,16.38,1.932,38.6
23.96001,15.1,37.76,8.56,16.67,2.094,41.8
24,15.05,38.11,8.5,17.14,2.1,42
23.88999,15,38.98,8.35,16.45,1.992,39.8
23.99001,15.77,39.19999,8.25,16.26,1.914,38.2
23.97,15.67,39.31001,8.4,16.52,1.944,38.8
23.97,15.67,39.31001,8.3,16.52,1.944,38.8
23.94999,15.06,38.06998,8.2,16.06,1.92,38.4
23.96001,15.01,38.37002,8.11,16.05,2.022,40.4
23.99001,15.06,38.26,8.11,16.24,2.022,40.4
23.99001,15,38.31001,8.06,16.02,2.04,40.8
23.90001,15,38.19999,8.1,15.95,2.124,42.4
24.00999,14.86,37.77999,8.1,15.44,2.022,40.4
24,15.1,38.04,8.13,15.48,1.974,39.4
23.90001,15.55,38.60001,8.1,15.64,2.004,40
23.90001,15.2,38.46001,8.19,15.65,1.992,39.8
23.90001,15.7,39.26,8.38,15.85,1.992,39.8
24,15.84,40.93998,8.4,15.93,2.064,41.2
24.21999,15.6,40.43999,8.34,15.86,2.052,41
24.57999,15.3,39.97001,8.36,15.8,2.064,41.2
24.3,15.41,39.64999,8.41,15.6,2.13,42.6
24.50001,15.3,39.24001,8.41,15.47,2.25,45
24.50001,15.28,39.98999,8.41,15.74,2.4,48
24.87999,15.19,41.87998,8.43,15.8,2.724,54.4
24.9,15.3,42.49001,8.56,15.96,2.55,51
24.9,15.3,42.49001,8.578,15.96,2.55,51
24.9,15.3,42.49001,8.614,15.96,2.55,51
24.9,15.36,42.56001,8.65,16.06,2.574,51.4
24.9,15.9,42.41001,8.6,16.53,2.64,52.8
24.86001,15.9,43.02999,8.48,16.83,2.694,53.8
25.14,16.11,43.78014,8.51,16.52,2.622,52.4
25.26999,16.02,44.66013,8.51,16.45,2.52,50.4
25.19001,16.1,45.45013,8.56,16.9,2.52,50.4
25.19001,16.22,46.50015,8.98,17.63,2.604,52
25.2,16.21,46.83977,9.06,17.55,2.604,52
25.2,16.21,46.83977,9.185,17.55,2.604,52
25.23,16.16,45.7201,9.31,17.59,2.622,52.4
25.47999,16,46.14019,9.27,17.65,2.622,52.4
26.28999,16,47.05003,9.05,17.38,2.652,53
26.19999,16.3,44.13014,9.06,17.68,2.664,53.2
25.70001,16,42.20001,9.05,17.43,2.55,51
25.89999,16.2,42.98001,9.14,17.65,2.634,52.6
26.00001,16.46,43.09998,9.3,17.62,2.574,51.4
26.09001,16.4,43.48984,9.34,17.78,2.664,53.2
26.1,16.33,43.7001,9.42,17.9,2.634,52.6
26.00001,16.51,44.32007,9.38,18.1,2.664,53.2
